GlucoseInternalTime,GlucoseValue
1447423637.0,12.10
1447423937.0,11.99
1447424237.0,11.88
1447424537.0,11.76
1447424837.0,11.65
1447425137.0,11.60
1447425437.0,11.49
1447425737.0,11.38
1447426037.0,11.65
1447426337.0,11.60
1447426637.0,11.43
1447426937.0,11.32
1447427237.0,11.15
1447427537.0,11.10
1447427837.0,11.27
1447428137.0,11.49
1447428437.0,11.32
1447428737.0,11.43
1447429037.0,11.38
1447429337.0,11.32
1447429637.0,11.21
1447429937.0,11.21
1447430237.0,11.27
1447430537.0,11.21
1447430837.0,10.93
1447431137.0,10.71
1447431437.0,10.60
1447431737.0,10.60
1447432037.0,10.27
1447432337.0,10.04
1447432637.0,9.77
1447432937.0,9.49
1447433237.0,9.27
1447433537.0,8.49
1447433837.0,7.94
1447434137.0,7.94
1447434437.0,7.66
1447434737.0,7.38
1447435037.0,7.27
1447435337.0,7.27
1447435637.0,7.27
1447435937.0,7.38
1447436237.0,7.49
1447436537.0,7.77
1447436837.0,8.05
1447437137.0,8.38
1447437437.0,8.66
1447437737.0,8.93
1447438037.0,9.49
1447438337.0,9.93
1447438637.0,10.27
1447438937.0,10.60
1447439237.0,10.82
1447439537.0,10.77
1447439837.0,10.49
1447440137.0,10.21
1447440438.0,10.10
1447440737.0,10.21
1447441037.0,10.16
1447441337.0,10.16
1447441637.0,9.99
1447441936.0,9.77
1447442236.0,9.66
1447442536.0,9.38
1447442836.0,9.27
1447443136.0,9.05
1447443436.0,8.77
1447443736.0,8.60
1447444036.0,8.49
1447444336.0,8.38
1447444636.0,8.21
1447444936.0,8.05
1447445236.0,7.94
1447445537.0,7.77
1447445836.0,7.77
1447446136.0,7.60
1447446436.0,7.55
1447446736.0,7.33
1447447036.0,7.21
1447447336.0,7.05
1447447636.0,6.88
1447447936.0,6.71
1447448236.0,6.60
1447448536.0,6.49
