Start,Finish,Heart Rate (count/min)
1447176480.0,1447176480.0,76.0
1447177080.0,1447177080.0,81.0
1447177920.0,1447177920.0,97.0
1447179600.0,1447179600.0,88.0
1447180200.0,1447180200.0,88.0
1447180920.0,1447180920.0,102.0
1447181520.0,1447181520.0,69.0
1447182180.0,1447182180.0,81.0
1447182780.0,1447182780.0,100.0
1447183440.0,1447183440.0,107.0
1447184460.0,1447184460.0,88.0
1447185360.0,1447185360.0,78.0
1447186080.0,1447186080.0,85.0
1447186740.0,1447186740.0,77.0
1447187460.0,1447187460.0,83.0
1447188000.0,1447188000.0,81.0
1447188600.0,1447188600.0,74.0
1447189200.0,1447189200.0,72.0
1447189740.0,1447189740.0,78.0
1447190340.0,1447190340.0,72.0
1447191000.0,1447191000.0,97.0
1447191540.0,1447191540.0,74.0
1447192140.0,1447192140.0,67.0
1447192740.0,1447192740.0,74.0
1447193460.0,1447193460.0,81.0
1447194300.0,1447194300.0,88.0
1447194840.0,1447194840.0,69.0
1447195500.0,1447195500.0,83.0
1447195860.0,1447195860.0,88.0
1447195860.0,1447195860.0,86.0
1447195860.0,1447195860.0,86.0
1447195860.0,1447195860.0,83.0
1447195860.0,1447195860.0,83.0
1447195860.0,1447195860.0,83.0
1447195860.0,1447195860.0,83.0
1447223160.0,1447223160.0,93.0
1447223760.0,1447223760.0,84.0
1447224600.0,1447224600.0,72.0
1447225260.0,1447225260.0,72.0
1447227060.0,1447227060.0,74.0
1447227720.0,1447227720.0,81.0
1447228440.0,1447228440.0,83.0
1447228980.0,1447228980.0,88.0
1447229580.0,1447229580.0,69.0
1447230300.0,1447230300.0,74.0
1447232340.0,1447232340.0,72.0
1447234200.0,1447234200.0,77.0
1447234860.0,1447234860.0,88.0
1447235520.0,1447235520.0,81.0
1447236360.0,1447236360.0,76.0
1447237200.0,1447237200.0,77.0
1447237860.0,1447237860.0,81.0
1447239000.0,1447239000.0,74.0
1447239840.0,1447239840.0,88.0
1447240560.0,1447240560.0,77.0
1447241160.0,1447241160.0,81.0
1447242660.0,1447242660.0,69.0
1447243980.0,1447243980.0,100.0
1447244760.0,1447244760.0,88.0
1447246140.0,1447246140.0,97.0
1447246860.0,1447246860.0,92.0
1447247640.0,1447247640.0,85.0
1447248420.0,1447248420.0,97.0
1447249080.0,1447249080.0,88.0
1447249980.0,1447249980.0,77.0
1447251000.0,1447251000.0,88.0
1447251660.0,1447251660.0,97.0
1447252260.0,1447252260.0,84.0
1447252800.0,1447252800.0,88.0
1447253460.0,1447253460.0,88.0
1447254000.0,1447254000.0,74.0
1447254900.0,1447254900.0,77.0
1447255620.0,1447255620.0,77.0
1447256340.0,1447256340.0,81.0
1447256880.0,1447256880.0,81.0
